freq,eps.real,eps.imag,sig.real,sig.imag
6.1750599520383675e10,-114641.58524013573,11965124.187684072,41103402.60766959,393827.9505665085
6.205035971223021e10,-114641.4828215329,11907311.017695446,41103365.886995,395739.38319106825
6.235011990407672e10,-114641.3799071405,11850053.69232462,41103328.98856239,397650.8106800454
6.2649880095923256e10,-114641.27649696123,11793344.232940989,41103291.91237275,399562.23300864676
6.294964028776977e10,-114641.1725909978,11737174.812887872,41103254.65842703,401473.6501520779
6.32494004796163e10,-114641.0681892529,11681537.75388122,41103217.22672619,403385.0620855454
6.3549160671462814e10,-114640.96329172917,11626425.522510272,41103179.61727119,405296.46878425544
6.384892086330935e10,-114640.85789842944,11571830.726836776,41103141.83006306,407207.8702234154
6.414868105515586e10,-114640.75200935637,11517746.113089545,41103103.86510271,409119.26637823146
6.4448441247002396e10,-114640.6456245127,11464164.562451273,41103065.722391166,411030.65722391155
6.474820143884891e10,-114640.53874390127,11411079.087934619,41103027.4019294,412942.0427356628
6.5047961630695435e10,-114640.43136752477,11358482.831344621,41102988.90371843,414853.4228886929
6.5347721822541954e10,-114640.32349538605,11306369.060324773,41102950.22775924,416764.79765820986
6.564748201438848e10,-114640.21512748789,11254731.165483968,41102911.37405282,418676.1670194218
6.5947242206235e10,-114640.10626383306,11203562.657601867,41102872.34260021,420587.53094753704
6.624700239808153e10,-114639.99690442446,11152857.16491007,41102833.133402415,422498.88941776444
6.654676258992805e10,-114639.88704926481,11102608.430446818,41102793.74646042,424410.24240531225
6.6846522781774574e10,-114639.7766983571,11052810.30948286,41102754.18177529,426321.58988539025
6.714628297362109e10,-114639.66585170409,11003456.767016243,41102714.43934802,428232.9318332072
6.744604316546762e10,-114639.55450930876,10954541.875333948,41102674.519179665,430144.2682239732
6.774580335731414e10,-114639.44267117388,10906059.811638225,41102634.42127124,432055.5990328976
6.804556354916067e10,-114639.33033730242,10858004.855735693,41102594.1456238,433966.92423519085
6.834532374100719e10,-114639.21750769732,10810371.387787249,41102553.6922384,435878.24380606296
6.8645083932853714e10,-114639.1041823614,10763153.886116901,41102513.06111604,437789.5577207243
6.894484412470023e10,-114638.99036129775,10716346.925077835,41102472.25225784,439700.8659543861
6.924460431654677e10,-114638.8760445092,10669945.172973802,41102431.26566482,441612.1684822592
6.954436450839328e10,-114638.7612319988,10623943.390034372,41102390.10133805,443523.4652795548
6.984412470023979e10,-114638.64592376947,10578336.42644225,41102348.75927861,445434.75632148434
7.014388489208632e10,-114638.53011982424,10533119.220411202,41102307.23948756,447346.0415832599
7.044364508393285e10,-114638.41382016608,10488286.79631307,41102265.54196599,449257.32104009326
7.074340527577937e10,-114638.29702479808,10443834.262852367,41102223.66671497,451168.59466719686
7.104316546762589e10,-114638.17973372317,10399756.811287124,41102181.61373557,453079.8624397828
7.134292565947241e10,-114638.06194694446,10356049.713694563,41102139.383028924,454991.1243330643
7.164268585131894e10,-114637.94366446501,10312708.321280327,41102096.97459611,456902.3803222544
7.194244604316547e10,-114637.82488628782,10269728.062729951,41102054.388438195,458813.6303825659
7.224220623501198e10,-114637.70561241602,10227104.442601433,41102011.62455633,460724.87448921264
7.25419664268585e10,-114637.5858428528,10184833.039757583,41101968.682951614,462636.1126174089
7.284172661870502e10,-114637.4655776011,10142909.505837137,41101925.56362515,464547.34474236786
7.314148681055156e10,-114637.34481666412,10101329.563763438,41101882.26657806,466458.5708393045
7.344124700239807e10,-114637.22356004502,10060089.006289667,41101838.79181147,468369.790883433
7.37410071942446e10,-114637.1018077469,10019183.694579506,41101795.13932652,470281.00484996854
7.404076738609111e10,-114636.97955977292,9978609.556822341,41101751.309124306,472192.2127141257
7.434052757793765e10,-114636.85681612628,9938362.586881917,41101707.301206015,474103.4144511204
7.464028776978416e10,-114636.7335768102,9898438.842977587,41101663.11557276,476014.61003616825
7.494004796163069e10,-114636.60984182777,9858834.446397189,41101618.752225675,477925.7994444846
7.52398081534772e10,-114636.48561118227,9819545.580240715,41101574.211165935,479836.9826512859
7.553956834532373e10,-114636.36088487697,9780568.488193866,41101529.492394686,481748.159631789
7.583932853717026e10,-114636.23566291497,9741899.47333072,41101484.5959131,483659.3303612099
7.613908872901678e10,-114636.10994529967,9703534.896944657,41101439.52172234,485570.4948147663
7.64388489208633e10,-114635.9837320342,9665471.177406806,41101394.269823544,487481.6529676745
7.673860911270982e10,-114635.857023122,9627704.78905126,41101348.84021793,489392.8047951531
7.703836930455635e10,-114635.72981856618,9590232.261086276,41101303.23290666,491303.95027241914
7.733812949640286e10,-114635.60211837012,9553050.176530845,41101257.4478909,493215.0893746907
7.763788968824939e10,-114635.47392253713,9516155.171175865,41101211.48517186,495126.22207718645
7.79376498800959e10,-114635.34523107062,9479543.9325693,41101165.34475073,497037.34835512517
7.823741007194244e10,-114635.21604397375,9443213.199024659,41101119.0266287,498948.46818372514
7.853717026378896e10,-114635.08636125,9407159.758652197,41101072.53080699,500859.5815382059
7.883693045563548e10,-114634.95618290274,9371380.448412202,41101025.85728677,502770.688393787
7.9136690647482e10,-114634.82550893528,9335872.153189806,41100979.00606929,504681.7887256879
7.943645083932854e10,-114634.69433935106,9300631.804890746,41100931.97715574,506592.8825091289
7.973621103117505e10,-114634.56267415342,9265656.381557515,41100884.77054734,508503.9697193298
8.003597122302158e10,-114634.43051334591,9230942.90650538,41100837.38624533,510415.05033151194
8.033573141486809e10,-114634.2978569318,9196488.44747774,41100789.82425094,512326.1243208953
8.063549160671463e10,-114634.16470491461,9162290.115820313,41100742.08456538,514237.1916627018
8.093525179856114e10,-114634.03105729785,9128345.065673718,41100694.16718993,516148.2523321526
