temperature,direction,R,data_type,rho,sigma
32.53,-1,6721.84,raw,0.0003351237966531368,2983.9719231727076
32.552,-1,6716.96,raw,0.0003348804995607235,2986.139835886954
32.571,-1,6711.46,raw,0.0003346062917721429,2988.5869590311554
32.594,-1,6705.36,raw,0.0003343021704066263,2991.3057363153116
32.624,-1,6698.65,raw,0.000333967636904558,2994.3021104340783
32.653,-1,6690.71,raw,0.00033357178056977083,2997.8555089159804
32.677,-1,6687.05,raw,0.00033338930775046093,2999.4963148263037
32.7,-1,6677.89,raw,0.00033293262714257044,3003.6106962018293
32.739,-1,6667.52,raw,0.0003324156208211922,3008.282214685405
32.773,-1,6660.19,raw,0.0003320501766229566,3011.593037444763
32.801,-1,6651.65,raw,0.00033162440671123336,3015.4595975523725
32.833,-1,6643.1,raw,0.00033119813823989457,3019.3406439853734
32.86,-1,6636.39,raw,0.0003308636047378263,3022.393474774574
32.876,-1,6630.29,raw,0.00033055948337230964,3025.1741374901003
32.894,-1,6626.01,raw,0.00033034609985683246,3027.128216235598
32.928,-1,6619.3,raw,0.0003300115663547642,3030.1968232379913
32.951,-1,6610.76,raw,0.00032958579644304094,3034.11133244275
32.98,-1,6603.43,raw,0.00032922035224480545,3037.4792845626034
33.002,-1,6598.55,raw,0.00032897705515239214,3039.725671861126
33.026,-1,6591.22,raw,0.00032861161095415665,3043.106106617475
33.049,-1,6586.34,raw,0.0003283683138617433,3045.3608274184508
33.079,-1,6576.58,raw,0.0003278817196769168,3049.880307402819
33.1,-1,6572.3,raw,0.00032766833616143954,3051.8664443283533
33.126,-1,6565.59,raw,0.0003273338026593713,3054.9854365044475
33.149,-1,6560.1,raw,0.00032706009343040637,3057.5420850382206
33.168,-1,6553.99,raw,0.0003267554735052741,3060.3924986243856
33.192,-1,6549.11,raw,0.0003265121764128608,3062.672917703205
33.233,-1,6538.73,raw,0.000325994671531867,3067.534801415449
33.263,-1,6532.02,raw,0.00032566013802979877,3070.6859183008064
33.286,-1,6524.09,raw,0.00032526478025462715,3074.4183222578527
33.32,-1,6514.93,raw,0.00032480809964673666,3078.740958392375
33.344,-1,6509.44,raw,0.0003245343904177717,3081.3375393365995
33.378,-1,6502.11,raw,0.00032416894621953616,3084.8112123694054
33.399,-1,6496.62,raw,0.0003238952369905712,3087.4180469319795
33.425,-1,6491.74,raw,0.00032365193989815794,3089.738934716923
33.442,-1,6486.24,raw,0.0003233777321095774,3092.358875413064
33.477,-1,6478.31,raw,0.00032298237433440584,3096.1441845264017
33.502,-1,6472.21,raw,0.00032267825296888923,3099.0622727104396
33.532,-1,6465.49,raw,0.00032234322090720534,3102.283327645582
33.559,-1,6459.39,raw,0.00032203909954168873,3105.2130049523616
33.59,-1,6450.84,raw,0.0003216128310703499,3109.3286815452307
33.613,-1,6446.57,raw,0.00032139994611448823,3111.3882005561463
33.634,-1,6440.47,raw,0.0003210958247489717,3114.3351078507058
33.654,-1,6434.97,raw,0.0003208216169603911,3116.9969451387087
33.69,-1,6427.65,raw,0.00032045667132177117,3120.5466744547753
33.707,-1,6423.99,raw,0.0003202741985024612,3122.324572743612
33.744,-1,6415.44,raw,0.0003198479300311224,3126.4857643527544
33.786,-1,6403.24,raw,0.00031923968730008915,3132.442612186836
33.806,-1,6400.18,raw,0.0003190871280577153,3133.9402691891846
33.84,-1,6391.64,raw,0.00031866135814599206,3138.1275904242466
33.859,-1,6387.98,raw,0.00031847888532668205,3139.9255839966995
