# Flat substrate index of 4.8 without absorption.
# Homogeneous conductivity across sample.
cond,freq,param,value
2000.0,1.68,s11.real,-0.3252
2000.0,1.7,s11.real,-0.3669
2000.0,1.72,s11.real,-0.4078
2000.0,1.74,s11.real,-0.448
2000.0,1.76,s11.real,-0.4872
2000.0,1.78,s11.real,-0.5253
2000.0,1.8,s11.real,-0.5619
2000.0,1.82,s11.real,-0.5968
2000.0,1.84,s11.real,-0.6294
2000.0,1.86,s11.real,-0.6595
2000.0,1.88,s11.real,-0.6863
2000.0,1.9,s11.real,-0.7096
2000.0,1.92,s11.real,-0.7288
2000.0,1.94,s11.real,-0.7438
2000.0,1.96,s11.real,-0.7543
2000.0,1.98,s11.real,-0.7604
2000.0,2.0,s11.real,-0.7623
2000.0,2.02,s11.real,-0.7605
2000.0,2.04,s11.real,-0.7551
2000.0,2.06,s11.real,-0.7466
2000.0,2.08,s11.real,-0.7351
2000.0,2.1,s11.real,-0.7209
2000.0,2.12,s11.real,-0.7041
2000.0,2.14,s11.real,-0.6847
2000.0,2.16,s11.real,-0.6628
2000.0,2.18,s11.real,-0.6383
2000.0,2.2,s11.real,-0.6114
2000.0,2.22,s11.real,-0.582
2000.0,2.24,s11.real,-0.5503
2000.0,2.26,s11.real,-0.5162
2000.0,2.28,s11.real,-0.4802
2000.0,2.3,s11.real,-0.4422
2000.0,2.32,s11.real,-0.4025
2000.0,2.34,s11.real,-0.3615
2000.0,2.36,s11.real,-0.3193
2000.0,2.38,s11.real,-0.2761
2000.0,2.4,s11.real,-0.2324
2000.0,2.42,s11.real,-0.188
2000.0,2.44,s11.real,-0.1431
2000.0,2.46,s11.real,-0.0978
2000.0,2.48,s11.real,-0.052
2000.0,2.5,s11.real,-0.0058
2000.0,2.52,s11.real,0.0407
2000.0,2.54,s11.real,0.0874
2000.0,2.56,s11.real,0.1341
2000.0,2.58,s11.real,0.1806
2000.0,2.6,s11.real,0.2267
2000.0,2.62,s11.real,0.272
2000.0,2.64,s11.real,0.3163
2000.0,2.66,s11.real,0.3594
2000.0,2.68,s11.real,0.401
2000.0,2.7,s11.real,0.4408
2000.0,2.72,s11.real,0.4787
2000.0,2.74,s11.real,0.5145
2000.0,2.76,s11.real,0.5479
2000.0,2.78,s11.real,0.5787
2000.0,2.8,s11.real,0.6071
2000.0,2.82,s11.real,0.6328
2000.0,2.84,s11.real,0.6557
2000.0,2.86,s11.real,0.6757
2000.0,2.88,s11.real,0.6928
2000.0,2.9,s11.real,0.7071
2000.0,2.92,s11.real,0.7184
2000.0,2.94,s11.real,0.7267
2000.0,2.96,s11.real,0.7322
2000.0,2.98,s11.real,0.7347
2000.0,3.0,s11.real,0.7343
5000.0,0.5,s11.real,-0.0294
5000.0,0.52,s11.real,0.0106
5000.0,0.54,s11.real,0.0504
5000.0,0.56,s11.real,0.0901
5000.0,0.58,s11.real,0.1295
5000.0,0.6,s11.real,0.1684
5000.0,0.62,s11.real,0.2067
5000.0,0.64,s11.real,0.2442
5000.0,0.66,s11.real,0.2809
5000.0,0.68,s11.real,0.3228
5000.0,0.7,s11.real,0.3516
5000.0,0.72,s11.real,0.3851
5000.0,0.74,s11.real,0.4175
5000.0,0.76,s11.real,0.4485
5000.0,0.78,s11.real,0.4783
5000.0,0.8,s11.real,0.5068
5000.0,0.82,s11.real,0.534
5000.0,0.84,s11.real,0.5601
5000.0,0.86,s11.real,0.5854
5000.0,0.88,s11.real,0.61
5000.0,0.9,s11.real,0.6346
5000.0,0.92,s11.real,0.6601
5000.0,0.94,s11.real,0.6877
5000.0,0.96,s11.real,0.7188
5000.0,0.98,s11.real,0.7537
5000.0,1.0,s11.real,0.7879
5000.0,1.02,s11.real,0.8059
5000.0,1.04,s11.real,0.7934
5000.0,1.06,s11.real,0.7482
5000.0,1.08,s11.real,0.7068
5000.0,1.1,s11.real,0.6695
5000.0,1.12,s11.real,0.6399
5000.0,1.14,s11.real,0.615
5000.0,1.16,s11.real,0.5924
5000.0,1.18,s11.real,0.5705
5000.0,1.2,s11.real,0.5482
5000.0,1.22,s11.real,0.525
5000.0,1.24,s11.real,0.5007
5000.0,1.26,s11.real,0.475
5000.0,1.28,s11.real,0.4479
5000.0,1.3,s11.real,0.4193
5000.0,1.32,s11.real,0.3892
5000.0,1.34,s11.real,0.3576
5000.0,1.36,s11.real,0.3245
5000.0,1.38,s11.real,0.29
5000.0,1.4,s11.real,0.2541
5000.0,1.42,s11.real,0.2169
5000.0,1.44,s11.real,0.1785
5000.0,1.46,s11.real,0.1389
5000.0,1.48,s11.real,0.0983
5000.0,1.5,s11.real,0.0568
5000.0,1.52,s11.real,0.0147
5000.0,1.54,s11.real,-0.028
5000.0,1.56,s11.real,-0.071
5000.0,1.58,s11.real,-0.1143
5000.0,1.6,s11.real,-0.1575
5000.0,1.62,s11.real,-0.2007
5000.0,1.64,s11.real,-0.2437
5000.0,1.66,s11.real,-0.2863
5000.0,1.68,s11.real,-0.3284
5000.0,1.7,s11.real,-0.37
5000.0,1.72,s11.real,-0.4108
5000.0,1.74,s11.real,-0.4508
5000.0,1.76,s11.real,-0.4898
5000.0,1.78,s11.real,-0.5276
5000.0,1.8,s11.real,-0.5638
5000.0,1.82,s11.real,-0.5983
5000.0,1.84,s11.real,-0.6305
5000.0,1.86,s11.real,-0.6601
5000.0,1.88,s11.real,-0.6865
5000.0,1.9,s11.real,-0.7094
5000.0,1.92,s11.real,-0.7283
5000.0,1.94,s11.real,-0.743
5000.0,1.96,s11.real,-0.7533
5000.0,1.98,s11.real,-0.7593
5000.0,2.0,s11.real,-0.7612
5000.0,2.02,s11.real,-0.7594
5000.0,2.04,s11.real,-0.7541
5000.0,2.06,s11.real,-0.7456
5000.0,2.08,s11.real,-0.7342
5000.0,2.1,s11.real,-0.7201
5000.0,2.12,s11.real,-0.7033
5000.0,2.14,s11.real,-0.684
5000.0,2.16,s11.real,-0.6621
5000.0,2.18,s11.real,-0.6378
5000.0,2.2,s11.real,-0.6108
5000.0,2.22,s11.real,-0.5815
5000.0,2.24,s11.real,-0.5498
5000.0,2.26,s11.real,-0.5157
5000.0,2.28,s11.real,-0.4798
5000.0,2.3,s11.real,-0.4418
5000.0,2.32,s11.real,-0.4022
5000.0,2.34,s11.real,-0.3612
5000.0,2.36,s11.real,-0.319
5000.0,2.38,s11.real,-0.2759
5000.0,2.4,s11.real,-0.2322
5000.0,2.42,s11.real,-0.1878
5000.0,2.44,s11.real,-0.1429
5000.0,2.46,s11.real,-0.0976
